,GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,LFG Generated (mmscfy),LFG Collected (mmscfy),CH4 Generated (mmscfy),CH4 Collected (mmscfy),CH4 Generated (metric tons per year),CH4 Collected (metric tons per year),CO2e Generated (metric tons per year),CO2e Collected (metric tons per year),Generated CO2e Intensity,Collected CO2e Intensity
742,1006777.0,12061,Apex Sanitary Landfill,OH,,11 County Road 78,Amsterdam,Jefferson,43903,40.435,-80.91,No,Private,Apex Environmental LLC,,2005.0,2037.0,Open,118.0,82.0,,,75254145.0,25399020,2022.0,2551858,2022.0,Yes,Occasionally but not every year,No,6.175,Yes,4.202,2022.0,57.6,Yes,,0.176,2022.0,"1/11-12 wells in place.; 2012-71 wells, system capacity=6500 acfm.",627143,"C,HH",2253.875,1533.73,1298.2320000000002,883.4284800000001,24926.054400000005,16961.826816,697929.5232000002,474931.150848,1.1128714235828194,0.7572932343149809
223,1006859.0,424,North Central Landfill,FL,North Central LF Site 201,"10 Environmental Loop South
7399 De Castro Road",Winter Haven,Polk,33880,28.02389,-81.847245,No,Public,"Polk County Board of County Commissioners, FL","Polk County Board of County Commissioners, FL",1977.0,2027.0,Open,,268.7,150.0,125.0,25308136.0,20352370,2022.0,721083,2022.0,Yes,Occasionally but not every year,No,7.1,Yes,3.12,2022.0,49.9,Yes,1.0,3.12,2022.0,"10/03-Flare 1,110 cfm for 1,224 hours per year.; 9/10-105 wells over 88 acres, gas collection began in 1997, 6 passive solar-spark flares and 1 open flare.; 2012-145 wells, system capacity=4000 acfm, passive vents/flares too.",399441,"C,HH",2591.5,1138.8,1293.1585,568.2612,24828.6432,10910.61504,695202.0096,305497.22112,1.7404372851059355,0.7648118773986646
409,1007833.0,559,Prairie View RDF,IN,Prairie View LF,15055 Shively Road,Bremen,St. Joseph,46506,41.5005,-86.1725,No,Private,WM,WM,1981.0,2039.0,Open,,119.3,75.0,,22989506.0,14292886,2022.0,490166,2022.0,No,Occasionally but not every year,No,6.45,Yes,2.485,2022.0,54.6,Yes,1.0,0.024,2022.0,"LFG is used for LFGTE system. Flare is utilized only when LFGTE system is down.; 2012-102 wells, system capacity=4738 scfm.",44452,"C,HH",2354.25,907.025,1285.4205000000002,495.23565,24680.073600000003,9508.52448,691042.0608000001,266238.68544000003,15.545803581391166,5.989352232520472
731,1002951.0,992,Mill Seat LF,NY,Riga/Mill Seat Landfill,303 Brew Road,Bergen,Monroe,14416,43.06504,-77.9328,No,Public,"Monroe County, NY",WM,1993.0,2057.0,Open,98.0,90.0,90.0,,45268762.0,16101162,2022.0,782244,2022.0,No,Not used,No,6.819,Yes,5.14,2022.0,51.6,Yes,1.0,1.978,2022.0,"1/09-Gas is collected from 50 wells.; 2012-98 wells, system capacity=8900 acfm.",128031,"C,HH",2488.935,1876.1,1284.29046,968.0676,24658.376831999998,18586.89792,690434.5512959999,520433.14175999997,5.392713884106192,4.064899452163929
732,1003732.0,993,Modern Landfill Inc,NY,,1445 Pletcher Road,Youngstown,Niagara,14174,43.210708,-78.978997,No,Private,"Modern Disposal Services, Inc",,1983.0,2038.0,Open,,139.0,38.0,,29326500.0,24230396,2022.0,1001478,2022.0,Yes,Occasionally but not every year,No,6.5,Yes,3.83,2022.0,54.0,Yes,1.0,0.0,2022.0,"2012-97 wells, system capacity=8400 acfm.",364351,"C,HH",2372.5,1397.95,1281.15,754.893,24598.08,14493.945600000001,688746.24,405830.4768,1.8903371748670925,1.113844827652456
863,1007630.0,2347,El Coqui Landfill,PR,Humacao Landfill,"Road 3 Int 923, km 1.7, Bo. Buena Vista",Humacao,Humacao,00791,18.13192,-65.808347,No,Private,EC Waste,EC Waste,1973.0,2069.0,Open,181.0,113.9,,138.0,48449881.0,23584859,2022.0,711724,2022.0,No,Not used,No,7.24,Yes,1.833,2022.0,47.8,Yes,2.0,1.833,2022.0,"9/10-72 wells over 75 acres, system installed in 2005, 1 enclosed flare.; 2012-86 wells, system capacity=2800 scfm, passive vents/flares too.; 3/19-WMI installed the GCCS and site has been flaring since then.",103883,HH,2642.6,669.045,1263.1627999999998,319.80350999999996,24252.725759999998,6140.227391999999,679076.3212799999,171926.36697599996,6.536934063128712,1.6550000190213987
842,1003100.0,1268,Modern LF,PA,Modern Trash Removal LF,4400 Mount Pisgah Road,York,York,17406,39.956,-76.595,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1949.0,2025.0,Open,,230.0,,,42202993.0,37132726,2022.0,984101,2022.0,No,Not used,No,7.843,Yes,6.598,2022.0,44.1,Yes,2.0,6.598,2022.0,"7/10-121 gas wells.; 2012-149 wells, system capacity=10000 acfm.",79096,"C,HH",2862.695,2408.27,1262.448495,1062.04707,24239.011104,20391.303744,678692.310912,570956.504832,8.580614834024477,7.2185256502478
228,1007820.0,2053,PBCSWA RRF Site #7,FL,West Palm Beach #7; NCRRF (Site 7); North County LF; Palm Beach Renewable Energy Park (PBREP),7501 N. Jog Road,West Palm Beach,Palm Beach,33412,26.763,-80.137436,No,Public,"Solid Waste Authority of Palm Beach County, FL","Solid Waste Authority of Palm Beach County, FL",1989.0,2054.0,Open,,206.5,100.0,,51392691.0,20274520,2022.0,750670,2022.0,No,Not used,No,9.15,Yes,3.385,2022.0,37.7,Yes,2.0,2.12,2022.0,"2012-169 wells, system capacity=5860 acfm. 172 Class 1 wells, 44 Class III wells",498526,"C,HH",3339.75,1235.5249999999999,1259.08575,465.79292499999997,24174.446399999997,8943.22416,676884.4992,250410.27648,1.3577717093993091,0.5023013373023674
1102,1007726.0,1689,Pheasant Run Recycling and Disposal Facility,WI,Pheasant Run Recycling LF & Northeast Expansion,19414 60th Street,Bristol,Kenosha,53104,42.58275,-88.04383,Yes,Private,WM,WM,1967.0,2062.0,Open,182.0,181.7,80.0,,30815795.0,23120279,2022.0,210232,2022.0,No,Not used,Yes,6.71,Yes,2.633,2022.0,51.4,Yes,1.0,0.036,2022.0,"5/05-66 gas collection wells.; 2012-138 wells, system capacity=8350 scfm.",24622,"C,HH",2449.15,961.045,1258.8631,493.97713,24170.17152,9484.360896,676764.80256,265562.105088,27.486183192267077,10.785561899439527
112,1004010.0,11120,Forward Landfill,CA,Forward Inc. Landfill,9999 S. Austin Road,Manteca,San Joaquin,95336,37.874624,-121.1833,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1973.0,2039.0,Open,,157.0,,,32882079.0,31325862,2022.0,1154381,2022.0,No,Not used,No,7.146,Yes,5.363,2022.0,48.1,Yes,2.0,3.533,2022.0,"2012-278 wells, system capacity=5000 acfm, passive vents/flares too.",95598,HH,2608.29,1957.4950000000001,1254.5874900000001,941.5550950000002,24088.079808000002,18077.857824000002,674466.234624,506180.01907200005,7.0552337352664285,5.294880845540702
902,1007795.0,1346,Chestnut Ridge LF,TN,,140 Fleenor Mill Road,Heiskell,Anderson,37754,36.115,-84.038,No,Private,WM,WM,1980.0,2069.0,Open,,115.7,200.0,,34793788.0,21120659,2022.0,369980,2022.0,No,Not used,No,6.62,Yes,2.554,2022.0,51.1,Yes,2.0,1.02,2022.0,"3/11-170 wells collecting gas.; 2012-161 wells, system capacity=8300 acfm.",57256,"C,HH",2416.3,932.2099999999999,1234.7293000000002,476.35931,23706.802560000004,9146.098752,663790.4716800001,256090.765056,11.593378365236832,4.472732378370826
411,1002683.0,1939,South Side Landfill Inc.,IN,South Side LFG Recovery Project,2561 Kentucky Avenue,Indianapolis,Marion,46221,39.72794,-86.20847,Yes,Private,"600 Land, Inc.",Best Way Disposal,1971.0,2039.0,Open,,255.5,,,51050160.0,27693911,2022.0,1266007,2022.0,Yes,Occasionally but not every year,No,6.378,Yes,4.056,2022.0,52.9,Yes,1.0,0.054,2022.0,"4/09-100+ wells installed in 1980s.; 2012-263 wells, system capacity=6000 acfm.",102670,"C,HH",2327.9700000000003,1480.44,1231.4961300000002,783.1527600000001,23644.725696000005,15036.532992,662052.3194880001,421022.92377600004,6.448352191370411,4.100739493289179
280,1002478.0,2266,Pine Ridge Landfill,GA,Pine Ridge Recycling,105 Bailey Jester Road,Griffin,Butts,30223,33.240017,-84.118684,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1997.0,2041.0,Open,,148.0,,,37266389.0,25610923,2022.0,954365,2022.0,No,Not used,No,6.755,Yes,4.874,2022.0,49.5,Yes,,2.906,2022.0,"2012-76 wells, system capacity=6000 acfm.",118017,HH,2465.575,1779.01,1220.459625,880.60995,23432.8248,16907.71104,656119.0944,473415.90911999997,5.5595303591855405,4.01142131320064
934,1004491.0,11761,C.M. Hinton Jr Regional Landfill,TX,Garland Landfill,3175 Elm Grove Road,Rowlett,Dallas,75089,32.959,-96.543,No,Public,"City of Garland, TX","City of Garland, TX",2002.0,2053.0,Open,308.0,71.9,,86.0,21050975.0,9159009,2022.0,661614,2022.0,No,Not used,No,5.816,Yes,4.174,2022.0,57.3,Yes,1.0,0.005,2022.0,"1/10-Installing GCCS in 2009.; 9/10-26 wells over 12 acres, gas collection began 6/10/09, 1 passive flare.; 2010-31 wells, system capacity=3500 acfm.",214711,"C,HH",2122.84,1523.5100000000002,1216.38732,872.9712300000001,23354.636544,16761.047616,653929.823232,469309.333248,3.0456279521403187,2.1857721926123954
357,1003627.0,2324,Lee County Landfill,IL,Dixon / GROP Landfill No. 2; City of Dixon Landfill,"1214 South Bataan Road
1279 North Bataan Road",Dixon,Lee,61021,41.731,-89.395,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1981.0,2185.0,Open,191.0,,,,49020450.0,20802919,2022.0,229430,2022.0,No,Not used,No,6.636,Yes,5.445,2022.0,50.0,Yes,,5.445,2022.0,"2010-128 wells, system capacity=8508 acfm.",82956,"C,HH",2422.14,1987.4250000000002,1211.07,993.7125000000001,23252.543999999998,19079.280000000002,651071.232,534219.8400000001,7.848392304354115,6.439797483003039
523,1003259.0,1936,Eagle Valley RDF,MI,,600 West Silverbell Road,Lake Orion,Oakland,48359,42.72265,-83.25478,Yes,Private,WM,WM,1986.0,2036.0,Open,,129.2,,,21308860.0,14562145,2022.0,769096,2022.0,No,Not used,No,6.418,Yes,6.139,2022.0,51.6,Yes,2.0,1.75,2022.0,"4/08-Approx. 80 wells.; 2012-106 wells, system capacity=8272 scfm.",116698,"C,HH",2342.57,2240.735,1208.7661200000002,1156.21926,23208.309504000004,22199.409792000002,649832.6661120001,621583.4741760001,5.568498741298052,5.326427823750194
645,1004118.0,2336,"Sampson County Disposal, LLC",NC,,7434 Roseboro Highway,Roseboro,Sampson,28382,34.982,-78.457,No,Private,GFL Environmental USA Inc.,GFL Environmental USA Inc.,2000.0,2036.0,Open,,134.4,,,49123140.0,28006302,2022.0,2022601,2022.0,Yes,Several times per year,No,7.33,Yes,3.837,2022.0,45.1,Yes,2.0,3.837,2022.0,"10/04-Developing GCCS report, plan on bringing collection system online in early 2006; 4/09-Gas system expanded in late 2008.; 12/11-60 vertical wells and 2 flares.; 2012-55 wells, system capacity=4700 acfm.",180050,HH,2675.45,1400.505,1206.62795,631.6277550000001,23167.25664,12127.252896000002,648683.18592,339563.08108800004,3.6027947010274923,1.8859376900194393
568,1002059.0,820,Pine Bend Landfill,MN,Pine Bend Sanitary Landfill (PBSL),2495 East 117th Street,Inver Grove Heights,Dakota,55077,44.77917,-93.05711,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1971.0,2027.0,Open,192.0,187.4,,96.0,26951095.0,23643945,2022.0,562918,2022.0,No,Not used,No,6.53,Yes,3.339,2022.0,50.6,Yes,1.0,2.026,2022.0,"9/10-172 wells over 186 acres, 1 enclosed flare.; 2012-190 wells, system capacity=6500 acfm.",69818,"C,HH",2383.4500000000003,1218.735,1206.0257000000001,616.67991,23155.693440000003,11840.254271999998,648359.4163200001,331527.119616,9.286422073390817,4.748447672749148
493,1002655.0,741,Brown Station Road Sanitary Landfill,MD,,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,No,Public,"Prince George's County, MD","Prince George's County, MD",1968.0,2025.0,Open,300.0,259.3,150.0,60.0,,19413034,2022.0,385312,2022.0,No,Not used,No,6.13,Yes,3.36,2022.0,53.7,Yes,3.0,3.36,2022.0,"12/02-155 wells, LFG from 150 ac. capped LF, facility is Title V.; 2012-System capacity=6000 acfm.",41366,"C,HH",2237.45,1226.3999999999999,1201.51065,658.5767999999999,23069.00448,12644.674559999998,645932.12544,354050.8876799999,15.615049205627809,8.558982925107575
1043,1007583.0,1575,Charles City County SLF,VA,Chambers Charles City LF; Chambers LF; Charles City LF,8000 Chambers Road,Charles City,Charles City,23030,37.43919,-77.13331,No,Private,WM,WM,1990.0,2061.0,Open,289.0,139.0,,95.0,45170371.0,20580910,2022.0,607680,2022.0,No,Not used,No,6.713,Yes,5.384,2022.0,48.7,Yes,2.0,1.536,2022.0,"9/10-156 wells over 80 acres, system installed in 1994, 2 open flares.; 2012-138 wells, system capacity=10600 acfm.",56687,"C,HH",2450.245,1965.16,1193.269315,957.0329200000001,22910.770848,18375.032064000003,641501.583744,514500.8977920001,11.316555537318962,9.076170864430999
914,1006303.0,1327,North Shelby Landfill,TN,,7111 Old Millington Road,Millington,Shelby,38053,35.327,-89.945,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1988.0,2314.0,Open,640.0,175.1,80.0,,77723610.0,16060661,2022.0,265750,2022.0,No,Not used,No,6.15,Yes,1.98,2022.0,52.5,Yes,2.0,0.181,2022.0,"2012-120 wells, system capacity=5000 acfm.",24442,"C,HH",2244.75,722.7,1178.49375,379.4175,22627.08,7284.816,633558.24,203974.848,25.92088372473611,8.345260126012601
194,1002010.0,1829,Cherry Island Landfill,DE,Cereza Landfill,1706 E. 12th Street,Wilmington,New Castle,19809,39.7308,-75.52,No,Public,Delaware Solid Waste Authority,Delaware Solid Waste Authority,1985.0,2060.0,Open,250.0,221.6,80.0,,25746677.0,17617050,2022.0,453510,2022.0,No,Not used,No,6.22,Yes,4.081,2022.0,51.7,Yes,2.0,2.523,2022.0,"6/10-50 wells & candle flare in 1990, +63 wells in 2002, +56 wells in 2003 & new, larger back-up flare system.; 9/10-261 wells, gas collection began in 1990, 2 enclosed & 12 passive flares.; 2012-252 wells, system capacity=9500 acfm.",230874,HH,2270.2999999999997,1489.565,1173.7450999999999,770.1051050000001,22535.905919999997,14786.018016000002,631005.36576,414008.50444800005,2.733115750409314,1.7932227294888123
401,1003626.0,1943,Laubscher Meadows LF,IN,,"2020 Laubscher Road
2121 Wimberg Road",Evansville,Vanderburgh,47720,38.0411,-87.6485,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1980.0,2058.0,Open,,131.6,,90.0,25529658.0,17075714,2022.0,242678,2022.0,No,Not used,No,6.38,Yes,1.711,2022.0,50.4,Yes,1.0,0.42,2021.0,"2012-124 wells, system capacity=3650 acfm.",23902,HH,2328.7,624.515,1173.6648,314.75556,22534.36416,6043.3067519999995,630962.19648,169212.589056,26.39788287507322,7.079432225587817
140,1002106.0,251,Prima Deshecha SLF,CA,,32250 La Pata Avenue,San Juan Capistrano,Orange,92675,33.48654,-117.62491,Yes,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1976.0,2102.0,Open,697.0,240.0,430.0,210.0,98159518.0,24966789,2022.0,685720,2022.0,No,Not used,No,6.509,Yes,4.15,2022.0,49.1,Yes,1.0,4.15,2022.0,"6/98-LFG collection & flare in place.; 2012-158 wells, system capacity=6000 acfm.",85638,HH,2375.7850000000003,1514.7500000000002,1166.5104350000001,743.7422500000001,22397.000352000003,14279.851200000003,627116.0098560001,399835.83360000007,7.322870803334969,4.668906718979893
361,1008269.0,516,Milam Recycling and Disposal Facility,IL,,601 Madison Road,East St. Louis,St. Clair,62201,38.6547,-90.1302,Yes,Private,WM,WM,1965.0,2035.0,Open,,185.0,50.0,,42300799.0,32166735,2022.0,695309,2022.0,No,Not used,No,5.854,Yes,5.009,2022.0,54.3,Yes,2.0,0.548,2022.0,"LFG is used for LFGTE system. Flare is utilized only when LFGTE system is down.; 2012-74 wells, system capacity=8300 acfm.",157121,"C,HH",2136.71,1828.285,1160.23353,992.758755,22276.483775999997,19060.968095999997,623741.5457279999,533707.1066879999,3.9698165472979414,3.396790414317627
704,1004352.0,930,Apex Regional LF,NV,,13550 US Highway 93 North,Las Vegas,Clark,89165,36.374,-114.86518,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1993.0,2365.0,Open,1200.0,297.0,,500.0,994920296.0,80704773,2022.0,2595251,2022.0,Yes,Occasionally but not every year,No,8.003,Yes,3.509,2022.0,39.2,Yes,2.0,0.139,2022.0,"2012-108 wells, system capacity=9400 acfm.; 7/13-69 wells and 8 miles of pipe.",79222,"C,HH",2921.0950000000003,1280.7849999999999,1145.06924,502.06771999999995,21985.329408,9639.700223999998,615589.2234240001,269911.60627199995,7.770432751306457,3.407028429880588
664,1007835.0,1746,Douglas County Recycling and Disposal Facility LF,NE,Pheasant Point,14320 North 216th Street,Bennington,Douglas,68007,41.385,-96.241,No,Private,WM,WM,1989.0,2153.0,Open,405.0,187.5,,162.0,97848425.0,20140374,2022.0,741325,2022.0,Yes,Several times per year,No,5.908,Yes,4.238,2022.0,52.4,Yes,1.0,0.875,2022.0,"9/10-89 wells over 151 acres, system installed in 1998, 1 open flare.; 2012-95 wells, system capacity=5400 acfm.",108998,"C,HH",2156.42,1546.8700000000001,1129.9640800000002,810.5598800000001,21695.310336000002,15562.749696000003,607468.6894080001,435756.9914880001,5.573209503000056,3.997843919044387
1039,1007689.0,1584,Bethel LF,VA,"Big Bethel LF SLF Incorporated; USA Waste of Virginia Landfills, Inc.",100 North Park Lane,Hampton,Hampton city,23666,37.07201,-76.42704,No,Private,WM,WM,1975.0,2081.0,Open,281.0,146.6,,146.0,52449240.0,21202871,2022.0,764053,2022.0,Yes,Occasionally but not every year,No,6.06,Yes,3.535,2022.0,50.7,Yes,2.0,1.093,2022.0,"33 extraction wells, 2 ground flares, 72,000 gal/day leachate.; 4/08-50 vertical wells.; 9/10-89 wells over 27 acres, system installed in 1998, 1 open flare & 1 enclosed flare.; 2012-115 wells, system capacity=5300 acfm.",70872,"C,HH",2211.8999999999996,1290.275,1121.4333,654.169425,21531.51936,12560.05296,602882.5420799999,351681.48288,8.506639322722654,4.962206271588216
801,1005729.0,2384,Southeast OKC Landfill,OK,Bryant Street Landfill,7001 S. Bryant Street,Oklahoma City,Oklahoma,73149,35.3972,-97.4592,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1965.0,2065.0,Open,227.4,130.6,,112.0,41991349.0,19531069,2022.0,471561,2022.0,No,Not used,No,6.118,Yes,5.046,2022.0,49.8,Yes,2.0,1.188,2022.0,"4/05-Planning a future expansion of the collection system to provide more gas to projects.; 9/10-91 wells over 99 acres, 1 enclosed flare & 1 candlestick flare.; 2012-100 wells, system capacity=2400 acfm.; 10/17-180 wells, 3 flares currently.",90771,"C,HH",2233.07,1841.7900000000002,1112.06886,917.2114200000001,21351.722112,17610.459264,597848.219136,493092.859392,6.586335053442179,5.432273076114618
547,1003687.0,1855,Sauk Trail Hills Landfill,MI,Canton Landfill; Sauk Trail Hills Development,5011 South Lilley Road,Canton,Wayne,48188,42.2744,-83.4563,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1975.0,2033.0,Open,161.0,147.0,,133.0,35920234.0,25745336,2022.0,539391,2022.0,No,Not used,No,5.62,Yes,4.466,2022.0,54.1,Yes,2.0,2.641,2022.0,"9/10-77 wells over 91 acres, 1 enclosed flare.; 2012-123 wells, system capacity=7700 acfm.",112504,"C,HH",2051.3,1630.0900000000001,1109.7533,881.8786900000001,21307.26336,16932.070848000003,596603.37408,474097.9837440001,5.302952553509209,4.214054466898955
825,1004162.0,1260,Cumberland County LF,PA,"Community Refuse Service Incorporated LF; Hopewell LF, Newton LF",135 Vaughn Road,Shippensburg,Cumberland,17257,40.1344,-77.5039,No,Private,WM,WM,1974.0,2032.0,Open,174.0,145.3,,,17505899.0,13751607,2022.0,282880,2022.0,No,Occasionally but not every year,No,6.315,Yes,3.398,2022.0,48.0,Yes,2.0,0.235,2022.0,"1 John Zink enclosed ground flare rated for 3300 cfm max, and 1 candlestick flare rated for 600 cfm max; 8/07-110 gas wells, 16-18 more expected.; 2012-85 wells, system capacity=8000 acfm.",49074,"C,HH",2304.9750000000004,1240.27,1106.3880000000001,595.3295999999999,21242.6496,11430.328319999999,594794.1888,320049.19295999996,12.120352708155032,6.521766983738843
226,1008215.0,420,Orange County SLF,FL,,12100 Young Pine Road,Orlando,Orange,32829,28.481,-81.2083,Yes,Public,"Orange County Utilities, Solid Waste Division, FL","Orange County Utilities, Solid Waste Division, FL",1972.0,2088.0,Open,,717.4,65.0,,64559937.0,36079131,2022.0,1159080,2022.0,No,Not used,No,7.177,Yes,5.622,2022.0,42.0,Yes,4.0,2.335,2021.0,"8/05-GCCS includes 148 vertical wells avg. 65 feet deep, 3 horizontal wells totaling 3,600 feet, and 4 centrifugal blowers (dated).; 2012-459 wells, system capacity=6000 acfm.; 10/16-4 flares since 2013.",167443,HH,2619.605,2052.0299999999997,1100.2341,861.8525999999998,21124.49472,16547.569919999994,591485.85216,463331.95775999984,3.532460910041029,2.7671025827296445
1098,1007725.0,1681,Metro RDF,WI,,10712 South 124th Street,Franklin,Milwaukee,53132,42.84951,-88.065,Yes,Private,WM,WM,1951.0,2032.0,Open,,155.0,110.0,,37583517.0,27672053,2022.0,710204,2022.0,Yes,Several times per year,Yes,6.25,Yes,4.82,2022.0,48.0,Yes,1.0,1.231,2022.0,"2012-93 wells, system capacity=7800 acfm.",34889,"C,HH",2281.25,1759.3000000000002,1095.0,844.464,21024.0,16213.7088,588672.0,453983.84640000004,16.87271059646307,13.012234411992319
454,1006182.0,670,Valley View LF,KY,Laidlaw LF,9120 Sulphur Road,Sulphur,Trimble,40070,38.505,-85.29,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1983.0,2044.0,Open,,178.7,,,28372681.0,19608767,2022.0,370785,2022.0,No,Not used,No,7.08,Yes,2.747,2022.0,42.3,Yes,,2.747,2022.0,"2012-96 wells, system capacity=3000 acfm.",31539,"C,HH",2584.2,1002.655,1093.1165999999998,424.123065,20987.838719999996,8143.162848,587659.4841599999,228008.559744,18.632787474555307,7.229416270141729
766,1004850.0,2245,Noble Road LF,OH,Oakland Marsh LF; Milliron Landfill,170 Noble Road East,Shiloh,Richland,44878,40.97586,-82.48737,No,Private,Rumpke,Rumpke,1997.0,2036.0,Open,186.3,45.5,,,30033660.0,19000811,2022.0,1304483,2022.0,No,Not used,No,5.035,Yes,3.069,2022.0,59.3,Yes,,1.104,2022.0,"5/08-41 acre wellfield.; 2012-36 wells, system capacity=3014 acfm.",369193,HH,1837.775,1120.185,1089.800575,664.2697049999999,20924.171039999997,12753.978335999998,585876.78912,357111.39340799995,1.5869119650697603,0.9672756347168011
687,1005054.0,947,Monmouth County Reclamation Center,NJ,"Monmouth County LF - Phases I, II and III",6000 Asbury Avenue,Tinton Falls,Monmouth,07753,40.245,-74.115,No,Public,County of Monmouth,Monmouth County Reclamation Center,1976.0,2042.0,Open,,292.6,100.0,,32872185.0,21249788,2022.0,449071,2022.0,No,Not used,No,6.218,Yes,4.12,2022.0,48.0,Yes,3.0,4.12,2022.0,"2/07-200 gas extraction wells.; 2012-234 wells, system capacity=4950 acfm, passive vents/flares too.; 11/19-Gas collection began in 1995.",216489,"C,HH",2269.57,1503.8,1089.3936,721.824,20916.35712,13859.020799999998,585657.99936,388052.58239999996,2.7052552294111942,1.7924817538073525
552,1004486.0,1897,Vienna Junction Landfill,MI,Vienna Junction Industrial Park Landfill,6233 Hagman Road,Erie,Monroe,48133,41.7329,-83.50908,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1972.0,2029.0,Open,226.0,140.2,,,24431605.0,22787483,2022.0,450908,2022.0,No,Not used,No,6.52,Yes,2.177,2022.0,44.8,Yes,1.0,2.177,2022.0,"2012-86 wells, system capacity=6000 acfm.",88213,"C,HH",2379.7999999999997,794.605,1066.1503999999998,355.98303999999996,20470.087679999993,6834.874367999999,573162.4550399998,191376.48230399998,6.497482854454557,2.169481621801775
1054,1007635.0,2072,Middle Peninsula Landfill,VA,,3714 Waste Management Way,Saluda,Gloucester,23149,37.5202,-76.6201,No,Private,WM,WM,1995.0,2072.0,Open,,102.3,,,38141819.0,13286731,2022.0,488463,2022.0,No,Occasionally but not every year,No,5.874,Yes,4.513,2022.0,49.1,Yes,2.0,1.498,2022.0,"2012-73 wells, system capacity=8600 scfm.",71123,"C,HH",2144.0099999999998,1647.245,1052.7089099999998,808.797295,20212.011071999998,15528.908064,565936.310016,434809.42579199997,7.957149023747592,6.113485451851018
0,1007341.0,1994,Anchorage Regional Landfill,AK,,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,No,Public,"Municipality of Anchorage, AK","Municipality of Anchorage, AK",1987.0,2043.0,Open,165.0,112.0,300.0,150.0,27104639.0,11008984,2022.0,301589,2022.0,No,Not used,Yes,5.675,Yes,4.066,2022.0,50.7,Yes,1.0,1.915,2022.0,"4/10-GCCS in operation since Oct. 2006.; 2010-53 wells, system capacity=2000 acfm.; 9/13-36 vertical wells, 21 horizontal wells, and 8 interconnections with leachate system collect from 87 acres, enclosed flare from Parnell Industries.",171803,"C,HH",2071.375,1484.09,1050.187125,752.43363,20163.5928,14446.725696,564580.5984,404508.319488,3.2862091954156796,2.354489266706635
262,1001636.0,458,"Evergreen Landfill, Inc.",GA,Pecan Row Landfill,2995 Wetherington Lane,Valdosta,Lowndes,31601,30.808,-83.3625,No,Private,WM,WM,1992.0,2081.0,Open,,85.9,,100.0,30231984.0,13705888,2022.0,343023,2022.0,No,Not used,No,5.721,Yes,3.452,2022.0,49.7,Yes,2.0,1.28,2022.0,"9/10-28 vertical & 2 horizontal wells, 1 candlestick flare.; 2012-44 wells, system capacity=2100 acfm.",118347,HH,2088.165,1259.98,1037.818005,626.2100600000001,19926.105696000002,12023.233152000003,557930.959488,336650.5282560001,4.714365040837537,2.844605509696064
995,1006227.0,1472,Pine Hill Landfill,TX,,1102 Pine Hill Landfill Road,Kilgore,Gregg,75662,32.45,-94.832,No,Private,Four-S Oil Company,"Republic Services, Inc.",1980.0,2090.0,Open,240.0,85.4,,,30790202.0,13550103,2022.0,237282,2022.0,No,Not used,No,4.89,Yes,1.644,2022.0,57.6,Yes,,0.009,2022.0,9/17-More than 100 wells.,45104,HH,1784.85,600.06,1028.0736000000002,345.63456,19739.013120000003,6636.183552,552692.36736,185813.139456,12.25373286981199,4.1196598850656265
